experiment,dataset,architecture,balance_strategy,accuracy,f1_macro,auc_roc_macro,n_samples,mean_confidence,median_confidence,mean_true_class_probability,ece,mce,brier_score,negative_log_likelihood,high_confidence_count,high_confidence_error_count,high_confidence_error_rate,error_count,mean_error_confidence
ct_densenet121_baseline,ct,densenet121,baseline,0.6476534296028881,0.4173222429649942,0.7229023690745309,4155,0.6619273166883274,0.6624724,0.5270935033118652,0.021418710127557174,0.11591831111111106,0.484383560729694,0.8684563487048048,72,14,0.19444444444444445,1464,0.6241307147472677
ct_efficientnet_b0_focal_loss,ct,efficientnet_b0,focal_loss,0.4529482551143201,0.3731217905908931,0.6902868734784285,4155,0.45118911593501804,0.4401024,0.3487681991574007,0.031651843419975914,0.07820023494071138,0.6507139466096932,1.1588575124487,0,0,0.0,2273,0.4391555036515618
ct_resnet50_focal_loss,ct,resnet50,focal_loss,0.45703971119133574,0.3692622413069713,0.6992505341006361,4155,0.45883557275090253,0.44295645,0.35809492244334534,0.03952488756197354,0.426228128,0.6382221814631214,1.130430732150695,0,0,0.0,2256,0.447950152052305
ct_resnet50_baseline,ct,resnet50,baseline,0.6483754512635379,0.40428109404581647,0.719970139258397,4155,0.6842641853742478,0.679264,0.5398913506006041,0.04094109833212994,0.08178095010309305,0.4869773636176052,0.8799649467952939,291,42,0.14432989690721648,1461,0.6405395753045858
ct_efficientnet_b0_baseline,ct,efficientnet_b0,baseline,0.6194945848375452,0.3896920893736725,0.6942517177197542,4155,0.6748022438604091,0.6734163,0.5211071438186258,0.055307659022863935,0.11915156482900136,0.5142509771492461,0.9256993043563589,213,29,0.13615023474178403,1581,0.6346976937634409
ct_densenet121_focal_loss,ct,densenet121,focal_loss,0.4406738868832732,0.35631902151685557,0.6931761040063611,4155,0.4282238297809867,0.41096205,0.33654739151359814,0.05665875066185316,0.1408864192682927,0.6575644604791909,1.169304150288324,0,0,0.0,2324,0.42384577487521513
ct_resnet50_weighted_ce,ct,resnet50,weighted_ce,0.521540312876053,0.41295141092597837,0.7181467486700672,4155,0.6097942687629362,0.58854777,0.4463604438261901,0.09244462605294829,0.2477680366666667,0.6029022977423928,1.070254676865406,174,49,0.28160919540229884,1988,0.5785258308400403
ct_densenet121_weighted_ce,ct,densenet121,weighted_ce,0.5448856799037305,0.4159686939863948,0.6913769728995678,4155,0.6637361271600482,0.651738,0.47692863967432253,0.11885044725631773,0.2927373,0.5972537213669186,1.0743839732945542,339,109,0.3215339233038348,1891,0.6349021825806451
ct_efficientnet_b0_weighted_ce,ct,efficientnet_b0,weighted_ce,0.4861612515042118,0.37556366178126666,0.6731641869751553,4155,0.6577095667460892,0.63971096,0.445700164743027,0.17154831524187722,0.2946488993069306,0.6569164710510573,1.1966366268951902,404,140,0.3465346534653465,2135,0.6294138637096018
ct_top16_tissue_resnet50_weighted_ce,ct_top16_tissue,resnet50,weighted_ce,0.5374251497005988,0.42469492209925624,0.7206010330636029,2672,0.6514962570696108,0.633381275,0.46355271212982785,0.12469772635853296,0.41430415070484583,0.6167622071880945,1.1028771098027554,227,107,0.4713656387665198,1236,0.6327932636488673
ct_top20_tissue_resnet50_weighted_ce,ct_top20_tissue,resnet50,weighted_ce,0.5388073119568475,0.4329606939879865,0.7482163514432162,3337,0.5864314349745281,0.5649971,0.4405547780285796,0.062362135675756665,0.35535577805825236,0.590323461196249,1.015539973025119,103,43,0.4174757281553398,1539,0.5648844183625731
cxr_efficientnet_b0_weighted_ce,cxr,efficientnet_b0,weighted_ce,0.9401574803149606,0.9491353431399164,0.9923219664988149,3175,0.9350133050803148,0.98651123,0.9043804664233386,0.007214495870866299,0.394667575,0.09270535267158359,0.16995830825359778,2545,38,0.01493123772102161,190,0.7365968034210527
cxr_densenet121_baseline,cxr,densenet121,baseline,0.9458267716535433,0.9498813430558639,0.9924596061699994,3175,0.9466823364787402,0.9886467,0.9175444192430742,0.007651049366929156,0.3897592,0.08243241299192924,0.15639240713787902,2691,53,0.019695280564845784,172,0.7565708572674418
cxr_densenet121_weighted_ce,cxr,densenet121,weighted_ce,0.9496062992125984,0.9566710235045967,0.9930552920869236,3175,0.9402600523622047,0.9848556,0.913275003740567,0.010900391549606283,0.39044943,0.08005189828958621,0.15106629436273844,2595,39,0.015028901734104046,160,0.7529600023749999
cxr_resnet50_baseline,cxr,resnet50,baseline,0.9436220472440945,0.9487415360494017,0.9923766795107022,3175,0.9482728267685041,0.989851,0.9164201856334487,0.011468874642519774,0.373971445,0.08691789623067081,0.16300174383497607,2705,54,0.019963031423290204,179,0.7684751076536311
cxr_resnet50_weighted_ce,cxr,resnet50,weighted_ce,0.9445669291338583,0.9511534476845861,0.9923173201947716,3175,0.9316422319748031,0.9827921,0.9031339473819213,0.013019703433071001,0.62198704,0.08869322715448558,0.16688362473776303,2491,36,0.014452027298273785,176,0.7393359180681819
cxr_efficientnet_b0_baseline,cxr,efficientnet_b0,baseline,0.9398425196850394,0.9431762646423583,0.9924378758454857,3175,0.9515695154236221,0.99292314,0.9163989763409764,0.015728651587401575,0.15212904333333332,0.09293715181574419,0.1708996676622337,2726,61,0.022377109317681585,191,0.7823796656544504
cxr_efficientnet_b0_focal_loss,cxr,efficientnet_b0,focal_loss,0.9348031496062992,0.9425569700132498,0.9912001424713645,3175,0.8159982940251967,0.84731054,0.7978929879051968,0.11880485558110239,0.38576162249999996,0.1301673125674437,0.265849822524111,1108,1,0.0009025270758122744,207,0.6026127914975846
cxr_resnet50_focal_loss,cxr,resnet50,focal_loss,0.9351181102362205,0.9433952042480882,0.9898369331273821,3175,0.8138134835338583,0.8359265,0.7953096267952756,0.12178264927244095,0.37943041499999997,0.13485989037280346,0.26928253143154807,1084,1,0.0009225092250922509,206,0.612427251407767
cxr_densenet121_focal_loss,cxr,densenet121,focal_loss,0.945511811023622,0.9537327144115676,0.9919972648853899,3175,0.819562997127559,0.8460716,0.8040691781640944,0.1260506196661417,0.22608036712962953,0.12109345086127682,0.2512915486008886,1079,1,0.0009267840593141798,173,0.6170329387861271
