experiment,dataset,run_mode,architecture,balance_strategy,accuracy,f1_macro,f1_weighted,auc_roc_macro,summary_path,predictions_path,classification_report_path,accuracy_ci_low,accuracy_ci_high,f1_macro_ci_low,f1_macro_ci_high
ct_resnet50_baseline,ct,full,resnet50,baseline,0.6483754512635379,0.40428109404581647,0.6056206369295714,0.719970139258397,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/ct/ct_resnet50_baseline_full_summary.json,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/ct/ct_resnet50_baseline_full_predictions.csv,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/ct/ct_resnet50_baseline_full_classification_report.csv,0.6342900120336943,0.6648676293622142,0.3805130599572677,0.43043503251084425
ct_densenet121_baseline,ct,full,densenet121,baseline,0.6476534296028881,0.4173222429649942,0.6061280455551301,0.7229023690745309,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/ct/ct_densenet121_baseline_full_summary.json,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/ct/ct_densenet121_baseline_full_predictions.csv,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/ct/ct_densenet121_baseline_full_classification_report.csv,0.6341756919374247,0.6614981949458484,0.3927467080274276,0.44215621162863583
ct_efficientnet_b0_baseline,ct,full,efficientnet_b0,baseline,0.6194945848375452,0.3896920893736725,0.5757136342574838,0.6942517177197542,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/ct/ct_efficientnet_b0_baseline_full_summary.json,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/ct/ct_efficientnet_b0_baseline_full_predictions.csv,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/ct/ct_efficientnet_b0_baseline_full_classification_report.csv,0.6055354993983153,0.6346811070998796,0.3661012470229271,0.41348553908383595
ct_densenet121_weighted_ce,ct,full,densenet121,weighted_ce,0.5448856799037305,0.4159686939863948,0.5545623079262743,0.6913769728995678,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/ct/ct_densenet121_weighted_ce_full_summary.json,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/ct/ct_densenet121_weighted_ce_full_predictions.csv,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/ct/ct_densenet121_weighted_ce_full_classification_report.csv,0.5308002406738869,0.561251504211793,0.39786067772112377,0.4354829978670255
ct_resnet50_weighted_ce,ct,full,resnet50,weighted_ce,0.521540312876053,0.41295141092597837,0.5372512472267293,0.7181467486700672,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/ct/ct_resnet50_weighted_ce_full_summary.json,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/ct/ct_resnet50_weighted_ce_full_predictions.csv,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/ct/ct_resnet50_weighted_ce_full_classification_report.csv,0.5074548736462093,0.534777376654633,0.3962105699345704,0.4308009298831295
ct_efficientnet_b0_weighted_ce,ct,full,efficientnet_b0,weighted_ce,0.4861612515042118,0.37556366178126666,0.5063153747833561,0.6731641869751553,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/ct/ct_efficientnet_b0_weighted_ce_full_summary.json,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/ct/ct_efficientnet_b0_weighted_ce_full_predictions.csv,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/ct/ct_efficientnet_b0_weighted_ce_full_classification_report.csv,0.4709987966305656,0.5018050541516246,0.358322963114968,0.3937803012368265
ct_resnet50_focal_loss,ct,full,resnet50,focal_loss,0.45703971119133574,0.3692622413069713,0.4738638465349494,0.6992505341006361,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/ct/ct_resnet50_focal_loss_full_summary.json,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/ct/ct_resnet50_focal_loss_full_predictions.csv,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/ct/ct_resnet50_focal_loss_full_classification_report.csv,0.44259927797833937,0.4724428399518652,0.3527660255966132,0.38578530328392435
ct_efficientnet_b0_focal_loss,ct,full,efficientnet_b0,focal_loss,0.4529482551143201,0.3731217905908931,0.47850440864834587,0.6902868734784285,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/ct/ct_efficientnet_b0_focal_loss_full_summary.json,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/ct/ct_efficientnet_b0_focal_loss_full_predictions.csv,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/ct/ct_efficientnet_b0_focal_loss_full_classification_report.csv,0.43958483754512634,0.46859205776173285,0.3572917152588498,0.388579322773647
ct_densenet121_focal_loss,ct,full,densenet121,focal_loss,0.4406738868832732,0.35631902151685557,0.45484641157932576,0.6931761040063611,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/ct/ct_densenet121_focal_loss_full_summary.json,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/ct/ct_densenet121_focal_loss_full_predictions.csv,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/ct/ct_densenet121_focal_loss_full_classification_report.csv,0.4256257521058965,0.45620336943441636,0.34088197300641687,0.37323840819621823
cxr_densenet121_weighted_ce,cxr,full,densenet121,weighted_ce,0.9496062992125984,0.9566710235045967,0.949550382421282,0.9930552920869236,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/cxr/cxr_densenet121_weighted_ce_full_summary.json,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/cxr/cxr_densenet121_weighted_ce_full_predictions.csv,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/classification/cxr/cxr_densenet121_weighted_ce_full_classification_report.csv,0.9420472440944881,0.9568503937007874,0.9492552178021381,0.9631151569516788
