method,split,source,n_studies,accuracy,f1_macro,f1_weighted,auc_roc_macro
rule_mean_probability,test,slice_probabilities,167,0.6107784431137725,0.49903257261183476,0.6239706622056577,0.8058651346004586
rule_confidence_weighted_mean,test,slice_probabilities,167,0.592814371257485,0.476171802054155,0.6099943530306333,0.8030639801935227
rule_majority_vote,test,slice_probabilities,167,0.6047904191616766,0.48703184800437394,0.618093637765475,0.7911366456654048
rule_mean_probability,train,slice_probabilities,777,0.7876447876447876,0.7869144272666735,0.790773774786924,0.9507000538700456
rule_confidence_weighted_mean,train,slice_probabilities,777,0.7812097812097812,0.7764473426405245,0.7845584543636491,0.9508738333193727
rule_majority_vote,train,slice_probabilities,777,0.7657657657657657,0.774259779325794,0.7696468940632234,0.9499267247031324
rule_mean_probability,val,slice_probabilities,166,0.6506024096385542,0.539804813860409,0.6595989748786252,0.8457899618853252
rule_confidence_weighted_mean,val,slice_probabilities,166,0.6686746987951807,0.598397435897436,0.6777031201729996,0.8440021497985986
rule_majority_vote,val,slice_probabilities,166,0.6385542168674698,0.5399624009553939,0.6463764606060204,0.829985508664737
meta_random_forest_balanced_depth4,test,study_features,167,0.6526946107784432,0.5365203424026954,0.6641066811549375,0.834206150190623
