experiment,unit,aggregation,n_samples,n_studies,accuracy,f1_macro,f1_weighted,auc_roc_macro
ct_densenet121_baseline,slice,slice,4155,167,0.6476534296028881,0.4173222429649942,0.6061280455551301,0.7229023690745309
ct_densenet121_weighted_ce,slice,slice,4155,167,0.5448856799037305,0.4159686939863948,0.5545623079262743,0.6913769728995678
ct_resnet50_weighted_ce,slice,slice,4155,167,0.521540312876053,0.41295141092597837,0.5372512472267293,0.7181467486700672
ct_resnet50_baseline,slice,slice,4155,167,0.6483754512635379,0.40428109404581647,0.6056206369295714,0.719970139258397
ct_efficientnet_b0_baseline,slice,slice,4155,167,0.6194945848375452,0.3896920893736725,0.5757136342574838,0.6942517177197542
ct_efficientnet_b0_weighted_ce,slice,slice,4155,167,0.4861612515042118,0.37556366178126666,0.5063153747833561,0.6731641869751553
ct_efficientnet_b0_focal_loss,slice,slice,4155,167,0.4529482551143201,0.3731217905908931,0.47850440864834587,0.6902868734784285
ct_resnet50_focal_loss,slice,slice,4155,167,0.45703971119133574,0.3692622413069713,0.4738638465349494,0.6992505341006361
ct_densenet121_focal_loss,slice,slice,4155,167,0.4406738868832732,0.35631902151685557,0.45484641157932576,0.6931761040063611
ct_resnet50_weighted_ce,study,mean_probability,167,167,0.6107784431137725,0.5164159580181092,0.6184180610270196,0.7818626710608367
ct_resnet50_weighted_ce,study,confidence_weighted_mean,167,167,0.6107784431137725,0.5150452772274806,0.6197100809021037,0.7812356934167355
ct_densenet121_weighted_ce,study,majority_vote,167,167,0.6227544910179641,0.5070438794678518,0.6268853768685342,0.7295204412736114
ct_densenet121_weighted_ce,study,mean_probability,167,167,0.6287425149700598,0.5012928248222366,0.6303179033013482,0.7375498468462771
ct_resnet50_weighted_ce,study,majority_vote,167,167,0.592814371257485,0.5005689970001305,0.6022250659760433,0.7765812197006754
ct_densenet121_weighted_ce,study,top20pct_mean_probability,167,167,0.5988023952095808,0.4983423067886006,0.6059231173150555,0.7213535729984955
ct_densenet121_weighted_ce,study,confidence_weighted_mean,167,167,0.6167664670658682,0.49348515670792675,0.6193909735953395,0.7369071516802232
ct_resnet50_weighted_ce,study,max_probability,167,167,0.592814371257485,0.48125346973041044,0.6145987161257623,0.751042322992244
ct_efficientnet_b0_weighted_ce,study,mean_probability,167,167,0.592814371257485,0.47562806033316113,0.6029539798383597,0.728037976581313
ct_resnet50_weighted_ce,study,top3_mean_probability,167,167,0.5808383233532934,0.47374301489784815,0.6016420276219583,0.7553107952668991
ct_densenet121_weighted_ce,study,top3_mean_probability,167,167,0.5688622754491018,0.46907674259298004,0.5798355419896213,0.7153221716055843
ct_efficientnet_b0_focal_loss,study,mean_probability,167,167,0.5389221556886228,0.46343900553143397,0.5568327331538078,0.7439752311516313
ct_resnet50_weighted_ce,study,top20pct_mean_probability,167,167,0.5568862275449101,0.4620027438652574,0.5718458711466382,0.7608121254692968
ct_efficientnet_b0_weighted_ce,study,confidence_weighted_mean,167,167,0.5748502994011976,0.45888676540850454,0.5887557899013249,0.727789535138174
ct_resnet50_focal_loss,study,mean_probability,167,167,0.5508982035928144,0.4559267179925863,0.5694719030715302,0.7528092204726413
ct_efficientnet_b0_focal_loss,study,majority_vote,167,167,0.5329341317365269,0.4539849329474044,0.550589472998197,0.7265088632469006
ct_efficientnet_b0_focal_loss,study,confidence_weighted_mean,167,167,0.5329341317365269,0.452825311942959,0.5519386894659879,0.7484243127666854
ct_densenet121_weighted_ce,study,max_probability,167,167,0.5329341317365269,0.4509679915359957,0.5464941262484269,0.7024219068341204
ct_efficientnet_b0_weighted_ce,study,majority_vote,167,167,0.5568862275449101,0.4455233265301915,0.5667208473769265,0.7122734695017565
ct_resnet50_focal_loss,study,confidence_weighted_mean,167,167,0.5209580838323353,0.43534083054977946,0.5392765253870396,0.7536053232889315
ct_resnet50_focal_loss,study,majority_vote,167,167,0.5029940119760479,0.43312076302902,0.5176943834791443,0.7421884935990207
ct_densenet121_baseline,study,mean_probability,167,167,0.7005988023952096,0.42835365853658536,0.6422058322379631,0.7778446891886386
ct_densenet121_baseline,study,confidence_weighted_mean,167,167,0.7005988023952096,0.42835365853658536,0.6422058322379631,0.7784306159201437
ct_resnet50_baseline,study,majority_vote,167,167,0.7005988023952096,0.425027808676307,0.6398166958630015,0.7135781269086373
ct_efficientnet_b0_weighted_ce,study,top20pct_mean_probability,167,167,0.5329341317365269,0.4236523587353036,0.556836038152527,0.7102725679068447
ct_densenet121_baseline,study,top3_mean_probability,167,167,0.7125748502994012,0.42204983086130626,0.6503873595509995,0.7660119412547061
ct_densenet121_baseline,study,max_probability,167,167,0.7065868263473054,0.4183384773662552,0.6450925309874079,0.7634137829481988
ct_densenet121_baseline,study,top20pct_mean_probability,167,167,0.7065868263473054,0.4183384773662552,0.6450925309874079,0.7681992464647306
ct_densenet121_baseline,study,majority_vote,167,167,0.688622754491018,0.41798780487804876,0.629606640377781,0.7065637974611548
ct_densenet121_focal_loss,study,confidence_weighted_mean,167,167,0.47904191616766467,0.4139216575922565,0.4898713764244047,0.7459730883123059
ct_efficientnet_b0_focal_loss,study,top20pct_mean_probability,167,167,0.47305389221556887,0.4112396228588672,0.4887795991205958,0.7201568646423913
ct_efficientnet_b0_weighted_ce,study,top3_mean_probability,167,167,0.5089820359281437,0.40759841513292433,0.537533215777035,0.709167671636979
ct_densenet121_focal_loss,study,majority_vote,167,167,0.48502994011976047,0.4066981823991169,0.4973080656107127,0.7431077254952686
ct_resnet50_focal_loss,study,top20pct_mean_probability,167,167,0.46706586826347307,0.3992562803514873,0.47813795830691896,0.7290886474781071
ct_resnet50_focal_loss,study,top3_mean_probability,167,167,0.46706586826347307,0.397060522060522,0.4820663593118682,0.7272055750056698
ct_densenet121_focal_loss,study,mean_probability,167,167,0.48502994011976047,0.39040215104044895,0.5024689923403136,0.7440054203717793
ct_efficientnet_b0_baseline,study,mean_probability,167,167,0.6766467065868264,0.3901916741539383,0.6083333781672953,0.7464820893010713
ct_efficientnet_b0_baseline,study,confidence_weighted_mean,167,167,0.6766467065868264,0.3901916741539383,0.6083333781672953,0.7484610947073608
ct_efficientnet_b0_baseline,study,majority_vote,167,167,0.6766467065868264,0.3901916741539383,0.6083333781672953,0.6992293298715265
ct_efficientnet_b0_focal_loss,study,top3_mean_probability,167,167,0.4491017964071856,0.3900731981981982,0.4611386686087285,0.7176454045669336
ct_resnet50_baseline,study,mean_probability,167,167,0.6826347305389222,0.3885974934219637,0.6136615427226146,0.7797536702596133
ct_resnet50_baseline,study,confidence_weighted_mean,167,167,0.6826347305389222,0.3885974934219637,0.6136615427226146,0.779536378245841
ct_resnet50_focal_loss,study,max_probability,167,167,0.4491017964071856,0.3871939841767428,0.4636512912374981,0.7245305401718799
ct_resnet50_baseline,study,top3_mean_probability,167,167,0.6646706586826348,0.3821070778037991,0.6012709164029474,0.764705010396006
ct_resnet50_baseline,study,max_probability,167,167,0.6706586826347305,0.381831983805668,0.6036813013648815,0.7580301013458837
ct_resnet50_baseline,study,top20pct_mean_probability,167,167,0.6706586826347305,0.381831983805668,0.6036813013648815,0.7703605762010259
ct_efficientnet_b0_baseline,study,max_probability,167,167,0.6706586826347305,0.37379055207740464,0.5977433295049059,0.7286652441891703
ct_efficientnet_b0_baseline,study,top3_mean_probability,167,167,0.6706586826347305,0.3692632850241546,0.5942969134195377,0.7290760828639352
ct_efficientnet_b0_weighted_ce,study,max_probability,167,167,0.46706586826347307,0.3662675465673384,0.5039581162770247,0.6996243303514793
ct_efficientnet_b0_focal_loss,study,max_probability,167,167,0.41916167664670656,0.3647235854760127,0.42731065128890844,0.7050190428355776
ct_efficientnet_b0_baseline,study,top20pct_mean_probability,167,167,0.6646706586826348,0.36115547466943987,0.585718104720584,0.7326596441268467
ct_densenet121_focal_loss,study,top3_mean_probability,167,167,0.3772455089820359,0.3269985465116279,0.348113822189508,0.7213652094610041
ct_densenet121_focal_loss,study,top20pct_mean_probability,167,167,0.3772455089820359,0.32686304515661435,0.34763487300309576,0.7226217642668706
ct_densenet121_focal_loss,study,max_probability,167,167,0.3592814371257485,0.31373343069332243,0.32769081812854506,0.7142305715384355
