experiment,dataset,run_mode,architecture,variant_name,loss_name,dice,iou,pixel_accuracy,threshold,summary_path
ct_attention_unet_mixed30_patch192_pos70_tversky_pos10_bf32_thr095_segmentation,ct,full,attention_unet,mixed30_patch192_pos70_tversky_pos10_bf32_thr095,weighted_tversky_bce,0.5636971116065979,0.4305280807343396,0.9976810802112926,0.8999999999999999,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/segmentation/ct/ct_attention_unet_mixed30_patch192_pos70_tversky_pos10_bf32_thr095_segmentation_full_summary.json
ct_attention_unet_ensemble_mixed50_mixed30_segmentation,ct,full,attention_unet_ensemble,ensemble_mixed50_patch160_pos20_mixed30_patch192_pos10_val_tuned,probability_average,0.5444377660751343,0.4097070097923279,0.9971871376037598,0.9000000000000002,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/segmentation/ct/ct_attention_unet_ensemble_mixed50_mixed30_segmentation_full_summary.json
ct_attention_unet_mixed30_patch192_pos70_tversky_pos10_thr080_segmentation,ct,full,attention_unet,mixed30_patch192_pos70_tversky_pos10_thr080,weighted_tversky_bce,0.5304122935641896,0.394156443530863,0.9964666193181818,0.7999999999999998,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/segmentation/ct/ct_attention_unet_mixed30_patch192_pos70_tversky_pos10_thr080_segmentation_full_summary.json
ct_attention_unet_mixed50_patch160_pos80_tversky_pos20_thr_segmentation,ct,full,attention_unet,mixed50_patch160_pos80_tversky_pos20_thr,weighted_tversky_bce,0.5242242282087153,0.3845936888998205,0.995855019309304,0.7999999999999998,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/segmentation/ct/ct_attention_unet_mixed50_patch160_pos80_tversky_pos20_thr_segmentation_full_summary.json
ct_attention_unet_ct25d_mixed50_patch160_pos80_tversky_pos20_thr_segmentation,ct,full,attention_unet,ct25d_mixed50_patch160_pos80_tversky_pos20_thr,weighted_tversky_bce,0.5142712137915871,0.3843114424835552,0.997160757671703,0.9499999999999997,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/segmentation/ct/ct_attention_unet_ct25d_mixed50_patch160_pos80_tversky_pos20_thr_segmentation_full_summary.json
ct_attention_unet_tversky_pos30_bf16_thr_segmentation,ct,full,attention_unet,tversky_pos30_bf16_thr,weighted_tversky_bce,0.5002027137712999,0.3633238125931133,0.996332480690696,0.7999999999999998,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/segmentation/ct/ct_attention_unet_tversky_pos30_bf16_thr_segmentation_full_summary.json
ct_attention_unet_segmentation,ct,full,attention_unet,,,0.5001026966355063,0.3647820050066168,0.9959727915850553,,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/segmentation/ct/ct_attention_unet_segmentation_full_summary.json
ct_unet_segmentation,ct,full,unet,,,0.4790143771605058,0.3522040524265983,0.9970525568181818,,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/segmentation/ct/ct_unet_segmentation_full_summary.json
ct_attention_unet_patch128_pos80_tversky_pos20_thr_segmentation,ct,full,attention_unet,patch128_pos80_tversky_pos20_thr,weighted_tversky_bce,0.4745410290631381,0.3383211677724665,0.9944251342253252,0.7999999999999998,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/segmentation/ct/ct_attention_unet_patch128_pos80_tversky_pos20_thr_segmentation_full_summary.json
cxr_attention_unet_segmentation,cxr,full,attention_unet,,,0.9853358354155473,0.9714591342069971,0.9934717516448555,,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/segmentation/cxr/cxr_attention_unet_segmentation_full_summary.json
cxr_unet_segmentation,cxr,full,unet,,,0.9852682261016426,0.9713208603858948,0.9934558517726387,,/Users/yuncaichen/Master/TFM:FINAL/TFM/results/segmentation/cxr/cxr_unet_segmentation_full_summary.json
